"course_code","course_name","description","credits","prerequisites","department","instructors"
"CDA4630","Embedded Systems","Design of efficient and trustworthy embedded and cyber-physical systems consisting of hardware, software, firmware, sensors, and actuators. Covers fundamental issues related to modeling and specification, design space exploration, hardware-software partitioning, synthesis and compilation, real-time operating systems, and application-specific optimizations targeting area, power, performance, temperature, energy, and security.","3","Prereq: CDA 3101 with minimum grade of C.","Computer & Information Science & Engineering","Prabhat Mishra"
"CDA5636","Embedded Systems","Design of efficient and trustworthy embedded and cyber-physical systems consisting of hardware, software, firmware, sensors and actuators. It covers fundamental issues related to modeling and specification, design space exploration, hardware-software partitioning, synthesis and compilation, real-time operating systems, and application-specific optimizations targeting area, power, performance, temperature, energy, and security.","3","Prereq: Computer Organization.","Computer & Information Science & Engineering","Prabhat Mishra"
"CEN3031","Introduction to Software Engineering","Topics include software planning, specifications, coding, testing and maintenance. Gain experience in the team approach to large system development.","3","Prereq: COP 3530.","Computer & Information Science & Engineering","Neha Rani"
"CEN4721","Human-Computer Interaction","Studies the major topics in the study, planning and design of the interaction between people and computers. Topics include interface design (principles, theories and guidelines), virtual environments, interactive devices and collaboration.","3","Prereq: COP 3530.","Computer & Information Science & Engineering","Jaime Ruiz"
"CEN4722","User Experience Design","Introduces methods and tools used in User Experience Design (UXD): the early stages of software design focused on meeting user needs. Key concepts include user research, contextual design, design thinking, ideation, iterative design, prototyping, and design documentation. Projects utilize software tools used in the industry.","3","Prereq: COP 3530.","Computer & Information Science & Engineering","Christina Mccune"
"CEN5035","Software Engineering","Topics in projects organization, specification techniques, reliability measurement, documentation.","3","Prereq: COP 3504 and COT 3100.","Computer & Information Science & Engineering","Alin Dobra"
"CEN5728","User Experience Design","Introduces methods and tools used in User Experience Design (UXD): the early stages of software design focused on meeting user needs. Key concepts include user research, contextual design, design thinking, ideation, iterative design, prototyping, and design documentation. Software tools used in industry are used in class projects.","3","Prereq: COP 3530 or equivalent.","Computer & Information Science & Engineering","Sharon Lynn Chu Yew Yee"
"CIS4204","Penetration Testing: Ethical Hacking","Introduces principles and techniques associated with the cybersecurity practice known as penetration testing or ethical hacking. Covers planning, reconnaissance, scanning, exploitation, post-exploitation, and result reporting. Discover how system vulnerabilities can be exploited and learn to avoid such problems.","3","Prereq: COP 3530.","Computer & Information Science & Engineering","Michael Link"
"CIS4213","Enterprise Security","Provides an introduction to the real-world aspects of defending an enterprise network. Students will gain hands-on experience performing system security tasks and handling incidents. The class begins with a basic introduction to enterprise cybersecurity, the attack sequence, and managing cybersecurity. Then lecture, homework and lab activities cover the center for internet security's twenty essential security controls.","3","Prereq: COP 3530.","Computer & Information Science & Engineering","Cheryl Resch"
"CIS4301","Information and Database Systems 1","First part of a two-course sequence that studies the essential concepts, principles and techniques of modern database systems. Topics include modeling and querying of data using conceptual data models as well as the development of a database application.","3","Prereq: (COP 3504 or COP 3503) and COT 3100.","Computer & Information Science & Engineering","Peter Dobbins"
"CIS4360","Computer and Information Security","Covers systematic threat and risk assessment; programmed threats and controls in hardware, software, and human procedures; security policies, models, and mechanisms; theoretical limitations and practical implementations; certification and accreditation standards; and case study reviews. Includes projects.","3","Prereq: CDA 3101.","Computer & Information Science & Engineering","Sara Rampazzi"
"CIS4715","CS Teaching & Learning","Covers basic pedagogy, especially as it relates to computer science and engineering, and covers three fundamental elements in education: learning environment, educational theory, and educational practice as approached to engineering-specific training.","0","Prereq: COP 3502 or COP 3504C.","Computer & Information Science & Engineering","Jeremiah Blanchard"
"CIS4905","Individual Study in CISE: INDIVIDUAL STUDY","Problems in different areas of computer science.","0","Prereq: COP 3502C with a minimum grade of C.","Computer & Information Science & Engineering","Peter Dobbins"
"CIS4914","Senior Project","Involves completing a significant CISE-related project. Coordinate with the instructor and a project advisor, prepare a detailed technical report and deliver an oral presentation.","3","Prereq: senior CISE standing or higher and approved project proposal.","Computer & Information Science & Engineering","Sanethia Thomas"
"CIS4930","Special Topics in CISE: Intro to Neural Network Verif","Variable content provides an opportunity for in-depth study of topics not offered elsewhere and of topics of current significance.","3","Prereq: COP 3503C or COP 3504C or instructor permission.","Computer & Information Science & Engineering","Dung Tran"
"CIS4940","Practical Work","One term practical software engineering work under industrial supervision as set forth in the Herbert Wertheim College of Engineering regulations.","1","Prereq: COP 3502C with a minimum grade of C.","Computer & Information Science & Engineering","Peter Dobbins"
"CIS4949","Co-Op Work in CISE","Practical engineering work under industrial supervision, as set forth in the Herbert Wertheim College of Engineering regulations.","1","Prereq: COP 3502C with a minimum grade of C.","Computer & Information Science & Engineering","Peter Dobbins"
"CIS5371","Introduction to Cryptology","Introducing classical and modern cryptography and cryptanalysis, including symmetric and asymmetric (public key) ciphers. It covers cryptographic hash functions, block and stream ciphers, as well as differential and linear cryptanalysis. It reviews BAN logic, applications of cryptography, cryptographic standards and protocols, and analyzes case studies of failed implementations.","3","Prereq: COT 3100 Applications of Discrete Structures or equivalent ; Coreq:  COT 5405 Analysis of Algorithms or equivalent","Computer & Information Science & Engineering","Thomas Shrimpton"
"CIS6905","Individual Study","Individual Study","0","Prereq: consent of faculty member supervising the study.","Computer & Information Science & Engineering",""
"CIS6910","Supervised Research","Supervised Research","0","Prereq: graduate status in CIS.","Computer & Information Science & Engineering","Benjamin Lok"
"CIS6930","Special Topics in CIS: Internet Storage Systems","Special Topics in CIS","3","Prereq: vary depending on topics.","Computer & Information Science & Engineering","Jonathan Kavalan"
"CIS6935","Graduate Seminar","Presentations by visiting researchers, faculty members, and graduate students.","0","","Computer & Information Science & Engineering","Alireza Entezari"
"CIS6940","Supervised Teaching","A supervised teaching experience.","3","","Computer & Information Science & Engineering","Benjamin Lok"
"CIS6971","Research for Master's Thesis","Research for Master's Thesis","0","","Computer & Information Science & Engineering","Benjamin Lok"
"CIS7979","Advanced Research","Research for doctoral students before admission to candidacy. Designed for students with a master's degree in the field of study or for students who have been accepted for a doctoral program. Not appropriate for students who have been admitted to candidacy.","0","","Computer & Information Science & Engineering","Benjamin Lok"
"CIS7980","Research for Doctoral Dissertation","Research for Doctoral Dissertation","0","","Computer & Information Science & Engineering","Benjamin Lok"
"CNT4007","Computer Network Fundamentals","Fundamental concepts, principles, and standards of computer networks. Introduces topics in top-down approach, starting with the application layer in the OSI system architecture with a stronger focus on application, transport, and network layers.","3","Prereq: COP 3530. Coreq: COP 4600.","Computer & Information Science & Engineering","Ye Xia"
